Name,Rating,Short_Description,Features,SKU,Final_Price,MRP_Price,Included_Items,Product_Link,Processor,Operating_System,Display,Graphics,RAM,Storage,Microsoft_Office,Accessories,RAM_GB,Storage_Value,Storage_Type,Storage_GB,Discount,Processor_Brand,Processor_Level,Laptop_Type,Graphics_Type,Price_Category,Has_Backpack,Has_Mouse,Has_Office,Upsell_Score,Cross_Sell_Items,Brand
"HP Laptop 35.6 cm (14) 14-ep0342TU, Silver",3.5,Powerfully and responsibly made to get things done everyday,"13th Generation Intel® Core™ i5 processor | Windows 11 Home | 35.6 cm (14) diagonal, FHD display | Intel® Iris® Xᵉ Graphics | 16 GB DDR4 RAM | 512 GB SSD Hard Drive",BG6D5PA,58499.0,67811.0,HP X Entry Backpack worth  ₹1999.00 | Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00,https://www.hp.com/in-en/shop/hp-laptop-14-ep0342tu-bg6d5pa.html,13th Generation Intel® Core™ i5 processor,Windows 11 Home,"35.6 cm (14) diagonal, FHD display",Intel® Iris® Xᵉ Graphics,16 GB DDR4 RAM,512 GB SSD Hard Drive,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00,hp x entry backpack ,16.0,512,SSD,512,9312.0,Intel,i5,Normal,Integrated,Mid-Range,1,0,True,50.5,Mouse,
"HP Laptop 39.6 cm (15.6) 15-fc0500AU, Silver",4.5,Reliable computing yet stylish laptop that makes the wallet happy,"AMD Ryzen™ 3-7320U processor | Windows 11 Home | 39.6 cm (15.6) diagonal, FHD display | AMD Radeon™ Graphics | 8 GB 5500 LPDDR5 (on-board) RAM | 512 GB SSD Hard Drive",BV2W0PA,39999.0,44783.0,HP X Entry Backpack worth  ₹1999.00 | Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | 1 year Microsoft 365 basic subscription,https://www.hp.com/in-en/shop/hp-laptop-15-fc0500au-bv2w0pa.html,AMD Ryzen™ 3-7320U processor,Windows 11 Home,"39.6 cm (15.6) diagonal, FHD display",AMD Radeon™ Graphics,8 GB 5500 LPDDR5 (on-board) RAM,512 GB SSD Hard Drive,1 year Microsoft 365 basic subscription,hp x entry backpack ,8.0,512,SSD,512,4784.0,AMD,Other,Normal,Integrated,Budget,1,0,False,39.5,"Mouse, MS Office",
"HP OMEN Gaming Laptop 16-am0277TX, Black",0.0,Bold performance without the burnout,"Intel® Core™ 7 processor | Windows 11 Home | 40.6 cm (16) diagonal, 2K, IPS, anti-glare, Low Blue Light, 165 Hz, 400 nits display | NVIDIA® GeForce RTX™ 5050 8GB | 24 GB DDR5-5600 RAM (Upgradeable) | 1 TB SSD Hard Drive",C5BW1PA,129499.0,146134.0,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | 1 year Microsoft 365 basic subscription,https://www.hp.com/in-en/shop/hp-omen-gaming-laptop-16-am0277tx-c5bw1pa.html,Intel® Core™ 7 processor,Windows 11 Home,"40.6 cm (16) diagonal, 2K, IPS, anti-glare, Low Blue Light, 165 Hz, 400 nits display",Integrated,24 GB DDR5-5600 RAM (Upgradeable),1 TB SSD Hard Drive,1 year Microsoft 365 basic subscription,none,24.0,1,SSD,1024,16635.0,Intel,Other,Premium,Integrated,Premium,0,0,False,50.0,"Backpack, Mouse, MS Office",
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fb3118AX, Blue",4.6667,Fulfill your gaming destiny,"AMD Ryzen™ 7-7445HS processor | Windows 11 Home | 39.6 cm (15.6) diagonal FHD 144 Hz, IPS, 300 nits display | NVIDIA® GeForce RTX™ 4050 6GB | 16 GB DDR5-5600 RAM | 512 GB SSD Hard Drive",BT6D0PA,86499.0,95745.0,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | 1 year Microsoft 365 basic subscription,https://www.hp.com/in-en/shop/hp-victus-gaming-laptop-15-fb3118ax-bt6d0pa.html,AMD Ryzen™ 7-7445HS processor,Windows 11 Home,"39.6 cm (15.6) diagonal FHD 144 Hz, IPS, 300 nits display",Integrated,16 GB DDR5-5600 RAM,512 GB SSD Hard Drive,1 year Microsoft 365 basic subscription,none,16.0,512,SSD,512,9246.0,AMD,Other,Premium,Integrated,Premium,0,0,False,56.3335,"Backpack, Mouse, MS Office",
"HP OmniBook 7 AI Laptop 14-fr0116TU, Silver",5.0,An AI PC built for durability and designed to excel,"Intel® Core™ Ultra 7 processor | Windows 11 Home | 35.6 cm (14) diagonal, 3K, OLED, 120 Hz, SDR 400 nits, HDR 500 nits display | Intel® Arc™ 140T GPU | 32 GB LPDDR5-5200 RAM | 1 TB SSD Hard Drive",BK6N6PA,118499.0,127781.0,"HP 310 15.6 Laptop Backpack worth ₹2,999.00 | Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | 1 year Microsoft 365 basic subscription",https://www.hp.com/in-en/shop/hp-omnibook-7-ai-14-fr0116tu-bk6n6pa.html,Intel® Core™ Ultra 7 processor,Windows 11 Home,"35.6 cm (14) diagonal, 3K, OLED, 120 Hz, SDR 400 nits, HDR 500 nits display",Integrated,32 GB LPDDR5-5200 RAM,1 TB SSD Hard Drive,1 year Microsoft 365 basic subscription,hp 310 15.6 laptop backpack ,32.0,1,SSD,1024,9282.0,Intel,Other,Premium,Integrated,Premium,1,0,False,91.0,"Mouse, MS Office",
"HP OmniBook X Flip 14-fm0100TU Next Gen AI PC, Blue",4.4286,"Copilot+ PC.Unleash your creativity with supercharged performance wrapped in a thin and light design. Meet OmniBook X, the AI-enhanced evolution of HP Envy.","Intel® Core™ Ultra 7 processor (47 TOPS) | Next-Gen Windows | 35.6 cm (14) diagonal 3K OLED, UWVA touch display | Intel® Arc™ Graphics | 16 GB LPDDR5x RAM | 1 TB SSD Hard Drive",C1RB2PA,127999.0,139330.0,"MPP 2.0 pen worth ₹ 3,999 | HP Creator 13.3 Laptop Sling worth ₹5,500.00 | Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | 1 year Microsoft 365 basic subscription",https://www.hp.com/in-en/shop/hp-omnibook-x-flipngai-14-fm0100tu-c1rb2pa.html,Intel® Core™ Ultra 7 processor (47 TOPS),Next-Gen Windows,"35.6 cm (14) diagonal 3K OLED, UWVA touch display",Intel® Arc™ Graphics,16 GB LPDDR5x RAM,1 TB SSD Hard Drive,1 year Microsoft 365 basic subscription,mpp 2.0 pen ,16.0,1,SSD,1024,11331.0,Intel,Other,Premium,Integrated,Premium,0,0,False,56.143,"Backpack, Mouse, MS Office",
"HP OmniBook 5 Laptop 16-ba1124TU, Blue",3.5556,"Create content, work on the go, and stay connected.",13th Generation Intel® Core™ i5 processor | Windows 11 Home | 40.6 cm (16) diagonal 2K IPS display | Intel® Iris® Xᵉ Graphics | 16 GB LPDDR5x-4800 RAM | 1 TB SSD Hard Drive,BH4K6PA,73999.0,78855.0,"HP 310 15.6 Laptop Backpack worth ₹2,999.00 | Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | 1 year Microsoft 365 basic subscription",https://www.hp.com/in-en/shop/hp-omnibook-5-laptop-16-ba1124tu-bh4k6pa.html,13th Generation Intel® Core™ i5 processor,Windows 11 Home,40.6 cm (16) diagonal 2K IPS display,Intel® Iris® Xᵉ Graphics,16 GB LPDDR5x-4800 RAM,1 TB SSD Hard Drive,1 year Microsoft 365 basic subscription,hp 310 15.6 laptop backpack ,16.0,1,SSD,1024,4856.0,Intel,i5,Normal,Integrated,Mid-Range,1,0,False,51.778,"Mouse, MS Office",
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa2309TX, Silver",4.4,Follow your gaming destiny,"13th Generation Intel® Core™ i7 processor | Windows 11 Home | 39.6 cm (15.6) diagonal, FHD, 144 Hz, IPS display | NVIDIA® GeForce RTX™ 5050 8 GB | 24 GB DDR5-5600 RAM | 1 TB SSD Hard Drive",C25MSPA,112499.0,124318.0,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | 1 year Microsoft 365 basic subscription,https://www.hp.com/in-en/shop/hp-victus-gaming-laptop-15-fa2309tx-c25mspa.html,13th Generation Intel® Core™ i7 processor,Windows 11 Home,"39.6 cm (15.6) diagonal, FHD, 144 Hz, IPS display",Integrated,24 GB DDR5-5600 RAM,1 TB SSD Hard Drive,1 year Microsoft 365 basic subscription,none,24.0,1,SSD,1024,11819.0,Intel,i7,Premium,Integrated,Premium,0,0,False,72.0,"Backpack, Mouse, MS Office",
"HP Laptop 39.6 cm (15.6) 15-fd1254TU, Silver",3.25,Reliable computing yet stylish laptop that makes the wallet happy,"Intel® Core™ Ultra 5 processor | Windows 11 Home | 39.6 cm (15.6) diagonal, FHD IPS display | Intel® Arc™ Graphics | 16 GB DDR5-5600 RAM | 512 GB SSD Hard Drive",BG6E6PA,67999.0,83033.0,HP X Entry Backpack worth  ₹1999.00 | Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | 1 year Microsoft 365 basic subscription,https://www.hp.com/in-en/shop/hp-laptop-15-fd1254tu-bg6e6pa.html,Intel® Core™ Ultra 5 processor,Windows 11 Home,"39.6 cm (15.6) diagonal, FHD IPS display",Intel® Arc™ Graphics,16 GB DDR5-5600 RAM,512 GB SSD Hard Drive,1 year Microsoft 365 basic subscription,hp x entry backpack ,16.0,512,SSD,512,15034.0,Intel,Other,Normal,Integrated,Mid-Range,1,0,False,49.25,"Mouse, MS Office",
"HP Laptop 39.6 cm (15.6) 15-fr0046TU, Silver",0.0,Reliable computing yet stylish laptop that makes the wallet happy,"13th Generation Intel® Core™ i7-13620H processor | Windows 11 Home | 39.6 cm (15.6) diagonal, FHD display | Intel® Graphics | 16 GB DDR4-3200 RAM | 512 GB SSD Hard Drive",C27GLPA,72700.0,77506.0,HP X Entry Backpack worth  ₹1999.00 | Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00,https://www.hp.com/in-en/shop/hp-laptop-15-fr0046tu-c27glpa.html,13th Generation Intel® Core™ i7-13620H processor,Windows 11 Home,"39.6 cm (15.6) diagonal, FHD display",Intel® Graphics,16 GB DDR4-3200 RAM,512 GB SSD Hard Drive,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00,hp x entry backpack ,16.0,512,SSD,512,4806.0,Intel,i7,Normal,Integrated,Mid-Range,1,0,True,33.0,Mouse,
"HP Victus 39.6cm (15.6) Gaming Laptop 15-fa2700TX, Silver",3.3333,Follow your gaming destiny,"13th Generation Intel® Core™ i5 processor | Windows 11 Home | 39.6 cm (15.6) diagonal FHD IPS 144 Hz, 300 nits display | RTX 3050 6GB | 16 GB DDR4 RAM | 512 GB SSD Hard Drive",B7GP4PA,78170.0,88473.0,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | Microsoft Xbox Game Pass 3 month | 1 year Microsoft 365 basic subscription,https://www.hp.com/in-en/shop/victus-gaming-laptop-15-fa2700tx-b7gp4pa.html,13th Generation Intel® Core™ i5 processor,Windows 11 Home,"39.6 cm (15.6) diagonal FHD IPS 144 Hz, 300 nits display",Integrated,16 GB DDR4 RAM,512 GB SSD Hard Drive,1 year Microsoft 365 basic subscription,none,16.0,512,SSD,512,10303.0,Intel,i5,Gaming,Integrated,Mid-Range,0,0,False,49.6665,"Backpack, Mouse, MS Office",
"HP OmniBook 5 Next Gen AI 16-ag1046AU, Silver",5.0,Copilot+ PC.The upgrade you need from HP Pavilion. Excellent for students and families.,AMD Ryzen™ AI 7 processor | Windows 11 Home | 40.5 cm (16) diagonal 2K IPS touch display | AMD Radeon™ 860M Graphics | 16 GB LPDDR5x-7500 RAM | 1 TB SSD Hard Drive,C20W1PA,86499.0,99526.0,"HP 310 15.6 Laptop Backpack worth ₹2,999.00 | Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00",https://www.hp.com/in-en/shop/hp-omnibook-5-ngai-16-ag1046au-c20w1pa.html,AMD Ryzen™ AI 7 processor,Windows 11 Home,40.5 cm (16) diagonal 2K IPS touch display,AMD Radeon™ 860M Graphics,16 GB LPDDR5x-7500 RAM,1 TB SSD Hard Drive,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00,hp 310 15.6 laptop backpack ,16.0,1,SSD,1024,13027.0,AMD,Other,Premium,Integrated,Premium,1,0,True,59.0,Mouse,
"HP OmniBook 5 40.6 cm (16) Laptop 16-ba1789TU, Silver",0.0,The upgrade you need from HP Pavilion. Excellent for students and families.,"13th Generation Intel® Core™ i5 processor | Windows 11 Home | 40.6 cm (16) diagonal, 2K, Anti glare, IPS display with Intel® Iris® Xᵉ Graphics | 16 GB LPDDR5x-4800 RAM | 512 GB SSD Hard Drive | Full-size backlit keyboard, Touchscreen, HP True Vision 1080p FHD IR camera, Mic mute key, Camera privacy shutter",BG1P2PA,68999.0,77642.0,"HP 310 15.6 Laptop Backpack worth ₹2,999.00 | Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00",https://www.hp.com/in-en/shop/hp-omnibook-5-laptop-16-ba1789tu-bg1p2pa.html,13th Generation Intel® Core™ i5 processor,Windows 11 Home,"40.6 cm (16) diagonal, 2K, Anti glare, IPS display with Intel® Iris® Xᵉ Graphics",Integrated,16 GB LPDDR5x-4800 RAM,512 GB SSD Hard Drive,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00,hp 310 15.6 laptop backpack ,16.0,512,SSD,512,8643.0,Intel,i5,Normal,Integrated,Mid-Range,1,0,True,33.0,Mouse,
"HP Laptop 35.6 cm (14) 14-ep0343TU, Silver",0.0,Powerfully and responsibly made to get things done everyday,"13th Generation Intel® Core™ i3-1315U processor | Windows 11 Home | 35.6 cm (14) diagonal, FHD display | Intel® Graphics | 8 GB DDR4 RAM | 512 GB SSD Hard Drive",BG6D6PA,40799.0,49631.0,HP X Entry Backpack worth  ₹1999.00 | Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00,https://www.hp.com/in-en/shop/hp-laptop-14-ep0343tu-bg6d6pa.html,13th Generation Intel® Core™ i3-1315U processor,Windows 11 Home,"35.6 cm (14) diagonal, FHD display",Intel® Graphics,8 GB DDR4 RAM,512 GB SSD Hard Drive,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00,hp x entry backpack ,8.0,512,SSD,512,8832.0,Intel,i3,Normal,Integrated,Budget,1,0,True,17.0,Mouse,
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fb3185AX, Silver",3.4,Step up the fun with our most affordable gaming laptop range that doesn't shy on performance.,"AMD Ryzen™ 7 processor | Windows 11 Home | 39.6 cm (15.6) diagonal, FHD, 144 Hz, IPS display | NVIDIA® GeForce RTX™ 5050 8GB | 24 GB DDR5-5600 RAM | 1 TB SSD Hard Drive",C28DWPA,107499.0,120928.0,Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | 1 year Microsoft 365 basic subscription,https://www.hp.com/in-en/shop/hp-victus-gaming-laptop-15-fb3185ax-c28dwpa.html,AMD Ryzen™ 7 processor,Windows 11 Home,"39.6 cm (15.6) diagonal, FHD, 144 Hz, IPS display",Integrated,24 GB DDR5-5600 RAM,1 TB SSD Hard Drive,1 year Microsoft 365 basic subscription,none,24.0,1,SSD,1024,13429.0,AMD,Other,Premium,Integrated,Premium,0,0,False,67.0,"Backpack, Mouse, MS Office",
"HP OmniBook X Flip 14-fm0058TU Next Gen AI PC, Silver",3.0,"Copilot+ PC.Unleash your creativity with supercharged performance wrapped in a thin and light design. Meet OmniBook X, the AI-enhanced evolution of HP Envy.","Intel® Core™ Ultra 5 processor | Windows 11 Home Single Language | 35.6 cm (14) diagonal 3K OLED, UWVA touch display | Intel® Arc™ Graphics | 16 GB LPDDR5x-8533 RAM | 512 GB SSD Hard Drive",BH7C0PA,109999.0,125841.0,"MPP 2.0 pen worth ₹ 3,999 | HP Creator 13.3 Laptop Sling worth ₹5,500.00 | Microsoft Office Home 2024 Lifetime Subscription worth ₹9199.00 | 1 year Microsoft 365 basic subscription",https://www.hp.com/in-en/shop/hp-omnibook-x-flipngai-14-fm0058tu-bh7c0pa.html,Intel® Core™ Ultra 5 processor,Windows 11 Home Single Language,"35.6 cm (14) diagonal 3K OLED, UWVA touch display",Intel® Arc™ Graphics,16 GB LPDDR5x-8533 RAM,512 GB SSD Hard Drive,1 year Microsoft 365 basic subscription,mpp 2.0 pen ,16.0,512,SSD,512,15842.0,Intel,Other,Premium,Integrated,Premium,0,0,False,48.0,"Backpack, Mouse, MS Office",
